Education,Age,Income,City,Gender,Marital Status,Job Role,Experience,Skills,Job Satisfaction,Workplace Type
Master's Degree,0.3720032748778451,-1.3498264798922015,Houston,Male,Married,HR Manager,0.6991619802581772,Excel,Very Dissatisfied,Hybrid
Bachelor's Degree,-0.3597290551483728,-0.8350728962585613,Houston,Male,Single,Marketing Specialist,-0.5560902236802493,Project Management,Dissatisfied,Remote
Master's Degree,1.1769088379066848,0.6220610574399271,Phoenix,Female,Married,Data Scientist,1.0129750312427839,Project Management,Neutral,Hybrid
Master's Degree,-0.3597290551483728,-0.44391943302869524,Houston,Female,Single,Researcher,1.6406011332119972,Communication,Very Satisfied,Hybrid
PhD,1.5427750029197937,1.293043217919548,Los Angeles,Other,Divorced,Sales Executive,1.3267880822273905,Data Analysis,Neutral,Hybrid
Associate Degree,-1.0914613851745907,1.5397143486226277,Los Angeles,Other,Married,Graphic Designer,-1.1837163256494625,Marketing,Satisfied,Hybrid
Bachelor's Degree,0.5915229738857105,-0.5697418158712358,Houston,Male,Single,Software Engineer,0.07153587828896397,Project Management,Very Satisfied,In-office
Master's Degree,0.8110426728935759,1.3748083660633688,New York,Female,Divorced,Sales Executive,0.6991619802581772,Data Analysis,Very Dissatisfied,In-office
PhD,-1.1646346181772125,1.3104333033530697,Houston,Other,Divorced,Software Engineer,2.5820402861658165,Data Analysis,Neutral,In-office
Associate Degree,-0.3597290551483728,1.0611518961346131,Chicago,Other,Divorced,Sales Executive,-0.5560902236802493,Python,Satisfied,Remote
High School,-1.0182881521719689,1.0827395883969162,Los Angeles,Male,Single,Graphic Designer,-0.8699032746648558,Excel,Very Dissatisfied,Remote
Master's Degree,-1.0182881521719689,0.5093606051881983,Los Angeles,Male,Single,Marketing Specialist,0.07153587828896397,Marketing,Dissatisfied,Remote
Master's Degree,-1.0914613851745907,-0.9331699096269677,Chicago,Male,Single,Data Scientist,1.6406011332119972,Data Analysis,Dissatisfied,In-office
High School,0.8842159058961977,-0.09848108282488255,Houston,Other,Divorced,Sales Executive,-1.1837163256494625,Project Management,Very Satisfied,Hybrid
High School,-0.3597290551483728,-1.0570169480794935,Chicago,Other,Married,Software Engineer,-1.4975293766340692,Data Analysis,Very Dissatisfied,In-office
Master's Degree,-0.6524219871588599,-1.484855378552489,Phoenix,Male,Divorced,Sales Executive,1.6406011332119972,SQL,Very Satisfied,Remote
High School,0.3720032748778451,-0.4241307151215841,Los Angeles,Male,Divorced,HR Manager,-1.4975293766340692,Python,Satisfied,Remote
Bachelor's Degree,-1.3841543171850779,0.39669542694343385,Chicago,Female,Single,Data Scientist,-0.8699032746648558,Java,Very Dissatisfied,Hybrid
Associate Degree,1.1769088379066848,-0.6058976730098968,Los Angeles,Female,Married,Data Scientist,0.07153587828896397,Project Management,Very Satisfied,Hybrid
High School,-0.21338258914312921,-1.6242229800694157,New York,Female,Divorced,Software Engineer,-1.8113424276186758,Java,Dissatisfied,Hybrid
Bachelor's Degree,0.3720032748778451,0.6642134957625613,Los Angeles,Male,Married,Graphic Designer,0.6991619802581772,SQL,Dissatisfied,Hybrid
High School,-0.7987684531641035,1.5086379484868615,New York,Male,Married,HR Manager,-0.5560902236802493,Data Analysis,Very Satisfied,In-office
PhD,1.469601769917172,1.2129006740960961,Los Angeles,Female,Married,Data Scientist,2.5820402861658165,Java,Very Dissatisfied,Hybrid
Bachelor's Degree,-0.6524219871588599,-0.6630062902854991,New York,Other,Single,Software Engineer,0.3853489292735706,Python,Neutral,Remote
Master's Degree,0.5915229738857105,-0.3412015247479332,Houston,Other,Married,Researcher,1.6406011332119972,Data Analysis,Very Satisfied,In-office
PhD,0.0061371098647361585,0.9183274419351608,New York,Male,Married,Marketing Specialist,0.3853489292735706,SQL,Very Satisfied,Hybrid
Master's Degree,-0.21338258914312921,1.271667169699032,Chicago,Female,Divorced,Researcher,1.0129750312427839,Marketing,Very Satisfied,In-office
Bachelor's Degree,1.103735604904063,-0.030120057327589683,Chicago,Male,Married,Sales Executive,0.07153587828896397,Communication,Dissatisfied,Remote
Bachelor's Degree,-1.3841543171850779,0.09760712189103644,Los Angeles,Male,Divorced,Sales Executive,1.0129750312427839,Communication,Very Dissatisfied,Hybrid
Master's Degree,-0.5792487541562381,-1.6489500589515635,Houston,Male,Married,Graphic Designer,1.6406011332119972,Python,Satisfied,Remote
Bachelor's Degree,0.15248357586997974,0.37080430583145607,Chicago,Female,Married,Graphic Designer,-0.24227717269564264,Communication,Very Satisfied,Hybrid
Master's Degree,-1.6036740161929433,-0.16035169104069869,Houston,Male,Married,Data Scientist,-0.24227717269564264,Excel,Dissatisfied,Hybrid
Bachelor's Degree,-1.1646346181772125,-0.26162336503591427,Phoenix,Other,Divorced,Graphic Designer,-0.24227717269564264,Data Analysis,Dissatisfied,Hybrid
