Education,Age,Income,City,Gender,Marital Status,Job Role,Experience,Skills,Job Satisfaction,Workplace Type
Master's Degree,45,34247.0,Houston,Male,Married,HR Manager,8.0,Excel,Very Dissatisfied,Hybrid
Bachelor's Degree,35,48840.0,Houston,Male,Single,Marketing Specialist,4.0,Project Management,Dissatisfied,Remote
Master's Degree,56,90149.0,Phoenix,Female,Married,Data Scientist,9.0,Project Management,Neutral,Hybrid
Associate Degree,46,46058.0,Los Angeles,Female,Married,no details,3.0,Project Management,Satisfied,In-office
Master's Degree,35,59929.0,Houston,Female,Single,Researcher,11.0,Communication,Very Satisfied,Hybrid
PhD,61,109171.0,Los Angeles,Other,Divorced,Sales Executive,10.0,Data Analysis,Neutral,Hybrid
Associate Degree,25,116164.0,Los Angeles,Other,Married,Graphic Designer,2.0,Marketing,Satisfied,Hybrid
Bachelor's Degree,48,56362.0,Houston,Male,Single,Software Engineer,6.0,Project Management,Very Satisfied,In-office
Master's Degree,51,111489.0,New York,Female,Divorced,Sales Executive,8.0,Data Analysis,Very Dissatisfied,In-office
PhD,24,109664.0,Houston,Other,Divorced,Software Engineer,14.0,Data Analysis,Neutral,In-office
0,53,72356.0,Phoenix,Female,Married,Marketing Specialist,0.0,Marketing,Neutral,Remote
Associate Degree,35,102597.0,Chicago,Other,Divorced,Sales Executive,4.0,Python,Satisfied,Remote
0,55,31041.0,Houston,Other,Divorced,Researcher,0.0,Communication,Dissatisfied,In-office
High School,26,103209.0,Los Angeles,Male,Single,Graphic Designer,3.0,Excel,Very Dissatisfied,Remote
Master's Degree,26,86954.0,Los Angeles,Male,Single,Marketing Specialist,6.0,Marketing,Dissatisfied,Remote
High School,63,0.0,Houston,Other,Divorced,Marketing Specialist,3.0,SQL,Neutral,Remote
Master's Degree,25,46059.0,Chicago,Male,Single,Data Scientist,11.0,Data Analysis,Dissatisfied,In-office
High School,52,69722.0,Houston,Other,Divorced,Sales Executive,2.0,Project Management,Very Satisfied,Hybrid
High School,35,42548.0,Chicago,Other,Married,Software Engineer,1.0,Data Analysis,Very Dissatisfied,In-office
0,22,40078.0,Chicago,Female,Single,Software Engineer,0.0,Communication,Dissatisfied,In-office
Master's Degree,31,30419.0,Phoenix,Male,Divorced,Sales Executive,11.0,SQL,Very Satisfied,Remote
High School,45,60490.0,Los Angeles,Male,Divorced,HR Manager,1.0,Python,Satisfied,Remote
0,47,101086.0,Los Angeles,Male,Single,Data Scientist,0.0,Python,Dissatisfied,Hybrid
Bachelor's Degree,21,83760.0,Chicago,Female,Single,Data Scientist,3.0,Java,Very Dissatisfied,Hybrid
Associate Degree,56,55337.0,Los Angeles,Female,Married,Data Scientist,6.0,Project Management,Very Satisfied,Hybrid
High School,37,26468.0,New York,Female,Divorced,Software Engineer,0.0,Java,Dissatisfied,Hybrid
0,42,49309.0,Chicago,Male,Married,Marketing Specialist,0.0,Communication,Satisfied,In-office
Bachelor's Degree,45,91344.0,Los Angeles,Male,Married,Graphic Designer,8.0,SQL,Dissatisfied,Hybrid
High School,29,115283.0,New York,Male,Married,HR Manager,4.0,Data Analysis,Very Satisfied,In-office
0,19,97255.0,Phoenix,Female,Single,Researcher,0.0,Excel,Dissatisfied,Remote
PhD,60,106899.0,Los Angeles,Female,Married,Data Scientist,14.0,Java,Very Dissatisfied,Hybrid
Bachelor's Degree,31,53718.0,New York,Other,Single,Software Engineer,7.0,Python,Neutral,Remote
