candidate_id,skills,qualification,experience_level,job_role,College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,qualification_simple,experience_level_clean,job_role_clean,skills_count,programming_skills_count
1.0,"Python, SQL, TensorFlow, Machine Learning, Communication",Master's in Data Science,Senior,Data Scientist,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Master,Senior,Data Scientist,5,5
2.0,"HTML, CSS, JavaScript, React, Teamwork",Bachelor's in Computer Science,Mid,Frontend Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Mid,Frontend Developer,5,3
3.0,"Java, Spring, SQL, REST APIs, Problem Solving",Bachelor's in Software Engineering,Senior,Backend Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Senior,Backend Developer,5,3
4.0,"Figma, Adobe XD, UI/UX Design, Creativity",Bachelor's in Design,Entry,Designer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Entry,Designer,5,1
5.0,"Python, Django, JavaScript, React, Agile",Master's in Computer Science,Mid,Full Stack Python Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Master,Mid,Full Stack Python Developer,5,4
6.0,"Financial Modeling, Excel, Communication, Risk Analysis",Master's in Finance,Senior,Finance,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Master,Senior,Finance,4,3
7.0,"C++, Unreal Engine, Game Design, Teamwork",Bachelor's in Game Development,Mid,Game Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Mid,Game Developer,4,1
8.0,"Kubernetes, Docker, AWS, CI/CD, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Senior,DevOps Engineer,6,3
9.0,"Java, Spring Boot, Hibernate, Microservices",Bachelor's in Software Engineering,Mid,Full Stack Java Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Mid,Full Stack Java Developer,4,3
10.0,"Solidity, Ethereum, JavaScript, Blockchain",Unknown,Entry,Blockchain Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Unknown,Entry,Blockchain Developer,4,2
11.0,Unknown,Bachelor's in Marketing,Mid,Marketing,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Mid,Marketing,0,0
12.0,"Recruitment, HR Policies, Communication, Leadership",Master's in Human Resources,Senior,HR,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Master,Senior,HR,4,3
13.0,"C#, .NET, SQL, ASP.NET",Bachelor's in Computer Science,Mid,C# Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Mid,C# Developer,4,2
14.0,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Entry,PHP Developer,4,3
,"Swift, iOS Development, Objective-C, UI/UX",Bachelor's in Computer Science,Mid,Mobile Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Mid,Mobile Developer,5,1
16.0,"Network Security, Penetration Testing, Firewalls",Bachelor's in Cybersecurity,Senior,Cybersecurity Engineer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Senior,Cybersecurity Engineer,3,1
17.0,"Agile, Scrum, Project Management, Leadership",Master's in Business Administration,Senior,Software Project Manager,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Master,Senior,Software Project Manager,4,2
18.0,"C++, Unity, Game Design, 3D Modeling",Bachelor's in Game Development,Entry,Video Game Designer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Entry,Video Game Designer,4,1
19.0,"Python, Pandas, SQL, Data Visualization",Master's in Data Science,Unknown,Data Analyst,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Master,Unknown,Data Analyst,4,2
20.0,"Kubernetes, Helm, AWS, Terraform",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Senior,Kubernetes Operations Engineer,4,0
21.0,"HTML, CSS, JavaScript, Node.js, MongoDB",Bachelor's in Computer Science,Mid,Web Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Mid,Web Developer,5,3
22.0,"Python, Machine Learning, Deep Learning, NLP",PhD in Artificial Intelligence,Senior,AIML,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,PhD,Senior,AIML,4,2
23.0,"Java, Android Development, Kotlin, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Mid,Mobile Developer,4,1
24.0,"Python, Flask, JavaScript, PostgreSQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Entry,Full Stack Python Developer,4,4
25.0,"Java, Spring, Angular, Microservices",Master's in Software Engineering,Senior,Full Stack Java Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Master,Senior,Full Stack Java Developer,4,4
26.0,"Adobe Illustrator, Photoshop, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Mid,Designer,5,0
27.0,"SQL, Tableau, Data Analysis, Statistics",Bachelor's in Statistics,Entry,Data Analyst,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Entry,Data Analyst,4,2
28.0,"C#, Unity, Game Physics, 3D Modeling",Bachelor's in Game Development,Mid,Game Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Mid,Game Developer,4,2
29.0,"AWS, Jenkins, Docker, Ansible",Bachelor's in Computer Science,Senior,DevOps Engineer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Senior,DevOps Engineer,4,1
30.0,"PHP, WordPress, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Entry,PHP Developer,4,3
31.0,"Python, TensorFlow, Keras, Data Science",Master's in Data Science,Mid,Data Scientist,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Master,Mid,Data Scientist,4,4
32.0,"Blockchain, Smart Contracts, Solidity, Web3",Bachelor's in Computer Science,Senior,Blockchain Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Senior,Blockchain Developer,4,2
33.0,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Unknown,Frontend Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Unknown,Frontend Developer,5,3
,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Senior,Backend Developer,4,2
35.0,"Digital Marketing, Google Analytics, SEO, PPC",Bachelor's in Marketing,Mid,Marketing,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Mid,Marketing,4,2
,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Master,Senior,HR,3,1
37.0,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Mid,C# Developer,4,3
38.0,"Swift, iOS, Xcode, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Bachelor,Entry,Mobile Developer,4,2
39.0,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Master,Senior,Cybersecurity Engineer,3,2
,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager,Unknown,100.0,7.54,7.55,6.0,No,5.0,6.0,3.0,Unknown,Master,Mid,Software Project Manager,3,0
